url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,113,68
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,56,33
/PetervanLunteren/AddaxAI/issues,15,10
/PetervanLunteren/AddaxAI/tree/main,12,11
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,11,8
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,10,3
/PetervanLunteren/AddaxAI/releases,9,8
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,9,7
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,9,6
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,8,6
