time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,13,8,10,6
2026-04-07 00:00:00+00:00,24,10,39,15
2026-04-08 00:00:00+00:00,22,9,37,16
2026-04-09 00:00:00+00:00,21,10,61,21
2026-04-10 00:00:00+00:00,14,10,51,12
2026-04-11 00:00:00+00:00,41,14,25,11
2026-04-12 00:00:00+00:00,8,8,32,21
2026-04-13 00:00:00+00:00,16,9,31,20
2026-04-14 00:00:00+00:00,33,9,46,13
2026-04-15 00:00:00+00:00,33,11,53,22
2026-04-16 00:00:00+00:00,19,10,27,16
2026-04-17 00:00:00+00:00,47,23,79,31
2026-04-18 00:00:00+00:00,33,15,41,22
2026-04-19 00:00:00+00:00,30,16,45,21
