url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,107,71
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,40,31
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,16,14
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,15,3
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,15,3
/PetervanLunteren/AddaxAI/issues,14,8
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,13,4
/PetervanLunteren/AddaxAI/releases,12,8
/PetervanLunteren/AddaxAI/tree/main/model_info,11,8
/PetervanLunteren/AddaxAI/tree/main,10,7
