url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,124,81
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,38,30
/PetervanLunteren/AddaxAI/releases,17,10
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,16,14
/PetervanLunteren/AddaxAI/issues,16,10
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,15,3
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,15,3
/PetervanLunteren/AddaxAI/tree/main/model_info,13,9
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,13,4
/PetervanLunteren/AddaxAI/tree/main,11,8
