url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,120,69
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,63,38
/PetervanLunteren/AddaxAI/issues,14,9
/PetervanLunteren/AddaxAI/tree/main,13,11
/PetervanLunteren/AddaxAI/releases,12,11
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,11,9
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,11,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,10,7
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,7,5
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,6,6
