url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,173,100
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,56,41
/PetervanLunteren/AddaxAI/tree/main,29,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,26,12
/PetervanLunteren/AddaxAI/tree/main/model_info,20,13
/PetervanLunteren/AddaxAI/tree/main/classification_utils,19,12
/PetervanLunteren/AddaxAI/blob/main/markdown/AddaxAI_files_location.md,19,6
/PetervanLunteren/AddaxAI/pulls,17,16
/PetervanLunteren/AddaxAI/issues,17,12
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,15,12
